inspection_id,date,school_id,has_electricity,has_drinking_water,has_functional_toilet,has_boundary_wall,has_playground,inspector_name,remarks
INSP02966,2025-04-02,SCH0476,1,1,1,1,,FARIQ TRIPATHI,GOOD CONDITION
INSP00970,2025-05-13,SCH0337,1,1,1,1,1,UNNATI KULKARNI,GOOD CONDITION
INSP01386,2025-06-26,SCH0127,1,1,0,1,1,GIRIK NATT,TOILETS LOCKED
INSP01234,2025-06-02,SCH0372,0,0,1,1,,RUDRA KURIAN,GOOD CONDITION
INSP02997,2025-10-29,SCH0517,1,1,1,1,0,MOHAMMED DARA,AVERAGE
INSP02408,2025-10-30,SCH0334,,0,1,0,1,,NO REMARKS
INSP02849,2025-07-23,SCH0229,1,1,1,1,,MEERA SACHAR,NEEDS REPAIR
INSP01240,2025-12-29,SCH0072,1,1,1,0,0,SHIVANI KONDA,TOILETS LOCKED
INSP02649,2026-01-20,SCH0516,1,1,1,1,1,YACHANA MODY,GOOD CONDITION
INSP01667,2025-05-12,SCH0182,1,1,1,0,1,EIRAVATI CHOUDHRY,GOOD CONDITION
INSP02398,2026-05-01,SCH0221,1,0,1,0,1,IRA CHOUDHARY,NO REMARKS
INSP01451,2025-12-29,SCH0026,1,0,1,1,1,,NEEDS REPAIR
INSP00613,2025-10-04,SCH0092,1,1,1,,0,MAYA CHADA,GOOD CONDITION
INSP01189,2025-12-25,SCH0063,1,0,1,1,0,CALEB LALA,TOILETS LOCKED
INSP00832,2025-10-02,SCH0509,,,1,1,0,XAVIER GADE,NO REMARKS
INSP02501,2025-05-10,SCH0033,1,1,1,0,0,KAMYA RAVI,TOILETS LOCKED
INSP00333,2025-10-09,SCH0477,1,,1,0,1,JASMIT RAMACHANDRAN,TOILETS LOCKED
INSP02727,2025-10-06,SCH0522,1,1,1,1,1,CHASMUM UPPAL,GOOD CONDITION
INSP00145,2025-11-22,SCH0215,0,1,1,1,0,YACHANA MANGAT,TOILETS LOCKED
INSP02233,2025-10-23,SCH0428,1,1,1,1,0,SAMAKSH KHARE,AVERAGE
INSP01671,2025-12-22,SCH0042,1,1,1,,1,MANAN MANGAT,NEEDS REPAIR
INSP01776,2025-09-14,SCH0403,0,1,1,1,,MANBIR SODHI,NEEDS REPAIR
INSP01733,2025-10-23,SCH0175,1,1,0,1,1,QARIN NAYAR,TOILETS LOCKED
INSP02204,2026-06-02,SCH0010,0,1,1,0,1,,NO REMARKS
INSP02552,2025-04-08,SCH0140,0,1,1,1,1,GAURANGI RATTI,TOILETS LOCKED
INSP00219,2025-09-09,SCH0325,0,1,1,1,0,ZEHAAN DESHPANDE,AVERAGE
INSP00292,2025-11-25,SCH0371,1,1,1,0,1,CHASMUM GANGULY,NO REMARKS
INSP02177,2025-04-26,SCH0583,1,1,,0,1,JONATHAN JAIN,GOOD CONDITION
INSP00818,2025-09-16,SCH0078,1,0,1,1,0,KRISHNA GABA,AVERAGE
INSP00602,2025-11-20,SCH0360,1,1,1,1,0,UMANG SAGAR,AVERAGE
INSP00018,2026-03-15,SCH0582,1,1,1,1,0,UNNATI GOEL,NO REMARKS
INSP00171,2025-02-04,SCH0067,0,1,0,0,,SNEHA GHOSH,GOOD CONDITION
